Date,Category,Quantity,UniqueItemCount,Net sales,Gross sales
2022-02-21,Mie,1.0,1,0.0,0.0
2022-02-21,Milk Based,4.0,3,0.0,0.0
2022-02-21,Other,1.0,1,0.0,0.0
2022-02-21,Signature Based,5.0,3,0.0,0.0
2022-02-21,Tea Based,4.0,3,0.0,0.0
2022-02-21,Toast,3.0,2,0.0,0.0
2022-02-22,Coffee Based,1.0,1,0.0,0.0
2022-02-22,Main Course,1.0,1,0.0,0.0
2022-02-22,Mie,1.0,1,0.0,0.0
2022-02-22,Milk Based,2.0,2,0.0,0.0
2022-02-22,Signature Based,8.0,3,0.0,0.0
2022-02-22,Snack,2.0,2,0.0,0.0
2022-02-22,Tea Based,3.0,2,0.0,0.0
2022-02-23,Espresso Based,2.0,2,0.0,0.0
2022-02-23,Milk Based,3.0,2,0.0,0.0
2022-02-23,Other,2.0,1,0.0,0.0
2022-02-23,Signature Based,3.0,3,0.0,0.0
2022-02-23,Snack,2.0,2,0.0,0.0
2022-02-23,Tea Based,3.0,2,0.0,0.0
2022-02-24,Artisan Tea,1.0,1,0.0,0.0
2022-02-24,Coffee Based,5.0,2,0.0,0.0
2022-02-24,Espresso Based,3.0,2,0.0,0.0
2022-02-24,Main Course,1.0,1,0.0,0.0
2022-02-24,Milk Based,6.0,5,0.0,0.0
2022-02-24,Other,1.0,1,0.0,0.0
2022-02-24,Signature Based,10.0,4,0.0,0.0
2022-02-24,Snack,7.0,3,0.0,0.0
2022-02-24,Tea Based,4.0,2,0.0,0.0
2022-02-24,Toast,1.0,1,0.0,0.0
2022-02-25,Coffee Based,3.0,3,0.0,0.0
2022-02-25,Espresso Based,3.0,2,0.0,0.0
2022-02-25,Milk Based,4.0,3,0.0,0.0
2022-02-25,Signature Based,3.0,1,0.0,0.0
2022-02-25,Snack,1.0,1,0.0,0.0
2022-02-25,Tea Based,1.0,1,0.0,0.0
2022-02-25,Toast,1.0,1,0.0,0.0
2022-02-26,Coffee Based,3.0,2,0.0,0.0
