Date,Quantity,UniqueItemCount,Net sales,Gross sales
2022-11-28,49.0,25,0.0,0.0
2022-11-29,31.0,21,0.0,0.0
2022-11-30,33.0,20,0.0,0.0
2022-12-01,43.0,21,0.0,0.0
2022-12-02,57.0,27,0.0,0.0
2022-12-03,29.0,18,0.0,0.0
2022-12-04,58.0,31,0.0,0.0
2022-12-05,47.0,23,0.0,0.0
2022-12-06,64.0,18,0.0,0.0
2022-12-07,50.0,23,0.0,0.0
2022-12-08,33.0,23,0.0,0.0
2022-12-09,35.0,23,0.0,0.0
2022-12-10,43.0,22,0.0,0.0
2022-12-11,20.0,16,0.0,0.0
2022-12-12,30.0,21,0.0,0.0
2022-12-13,26.0,15,0.0,0.0
2022-12-14,36.0,22,0.0,0.0
2022-12-15,12.0,12,0.0,0.0
2022-12-16,54.0,31,0.0,0.0
2022-12-17,62.0,36,0.0,0.0
2022-12-18,169.0,39,0.0,0.0
2022-12-19,33.0,19,0.0,0.0
2022-12-20,30.0,20,0.0,0.0
2022-12-21,44.0,24,0.0,0.0
2022-12-22,33.0,20,0.0,0.0
2022-12-23,36.0,21,0.0,0.0
2022-12-24,32.0,22,0.0,0.0
2022-12-25,27.0,18,0.0,0.0
2022-12-26,33.0,26,0.0,0.0
2022-12-27,56.0,24,0.0,0.0
2022-12-28,32.0,21,0.0,0.0
2022-12-29,71.0,36,0.0,0.0
2022-12-30,27.0,18,0.0,0.0
2022-12-31,103.0,30,0.0,0.0
2023-01-01,31.0,20,0.0,0.0
2023-01-02,51.0,27,0.0,0.0
2023-01-03,38.0,23,0.0,0.0
2023-01-04,29.0,19,0.0,0.0
2023-01-05,6.0,5,0.0,0.0
2023-01-06,54.0,24,0.0,0.0
2023-01-07,47.0,25,0.0,0.0
2023-01-08,36.0,23,0.0,0.0
2023-01-09,24.0,17,0.0,0.0
2023-01-10,27.0,17,0.0,0.0
2023-01-11,42.0,23,0.0,0.0
2023-01-12,59.0,26,0.0,0.0
2023-01-13,22.0,20,0.0,0.0
2023-01-14,35.0,21,0.0,0.0
2023-01-15,31.0,20,0.0,0.0
2023-01-16,26.0,20,0.0,0.0
2023-01-17,35.0,26,0.0,0.0
2023-01-18,30.0,15,0.0,0.0
2023-01-19,14.0,6,0.0,0.0
2023-01-20,32.0,19,0.0,0.0
