Date,Receipt number,Receipt type,Category,SKU,Item,Variant,Modifiers applied,Quantity,Gross sales,Discounts,Net sales,Cost of goods,Gross profit,Taxes,Dining option,POS,Store,Cashier name,Customer name,Customer contacts,Comment,Status
7/11/25 12:11 PM,1-2929,Sale,Tea Based,60006,Milk Tea Ice,,,1.000,16000.00,0.00,16000.00,2790.00,13210.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 11:59 AM,1-2928,Sale,Snack,80005,Pisang Goreng Aren,,,1.000,16000.00,0.00,16000.00,5226.00,10774.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 11:59 AM,1-2928,Sale,Tea Based,60003,Lychee Tea Hot,,,1.000,16000.00,0.00,16000.00,4501.00,11499.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 11:11 AM,1-2927,Sale,Signature Based,40002,Kopi Susu Ice,,,1.000,20000.00,0.00,20000.00,7735.00,12265.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 11:11 AM,1-2927,Sale,Tea Based,60004,Lychee Tea Ice,,,1.000,16000.00,0.00,16000.00,4975.00,11025.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 11:11 AM,1-2927,Sale,Snack,80001,Basreng,,,1.000,15000.00,0.00,15000.00,4744.00,10256.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 11:11 AM,1-2927,Sale,Snack,80004,Tahu Tuna,,,1.000,15000.00,0.00,15000.00,9653.00,5347.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 11:00 AM,1-2926,Sale,Espresso Based,30007,Latte Ice,,,1.000,27000.00,0.00,27000.00,9723.00,17277.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/11/25 11:00 AM,1-2926,Sale,Toast,11004,Roti Bakar Keju,,,1.000,13000.00,0.00,13000.00,6214.00,6786.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 10:41 PM,1-2925,Sale,Tea Based,60001,Lemon Hot,,,1.000,15000.00,0.00,15000.00,1284.00,13716.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 10:41 PM,1-2925,Sale,Additional,13001,Add Ice Cream Vanilla,,,1.000,3000.00,0.00,3000.00,1523.00,1477.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 10:22 PM,1-2924,Sale,Tea Based,60001,Lemon Hot,,,1.000,15000.00,0.00,15000.00,1284.00,13716.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 9:33 PM,1-2923,Sale,Tea Based,60006,Milk Tea Ice,,,1.000,16000.00,0.00,16000.00,2790.00,13210.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 9:30 PM,1-2922,Sale,Tea Based,60006,Milk Tea Ice,,,1.000,16000.00,0.00,16000.00,2790.00,13210.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
7/10/25 9:30 PM,1-2922,Sale,Main Course,12006,Ayam Mentega,,,1.000,26000.00,0.00,26000.00,10732.00,15268.00,0.00,Dine in,POS 1,Husgendam Coffee Indonesia,Husgendam,,,,Closed
